state,state_name,state_code
Jammu and Kashmir,Jammu and Kashmir,1
Himachal Pradesh,Himachal Pradesh,2
Punjab,Punjab,3
Chandigarh,Chandigarh,4
Uttarakhand,Uttarakhand,5
Haryana,Haryana,6
Delhi,Delhi,7
Rajasthan,Rajasthan,8
Uttar Pradesh,Uttar Pradesh,9
Bihar,Bihar,10
Sikkim,Sikkim,11
Arunachal Pradesh,Arunachal Pradesh,12
Nagaland,Nagaland,13
Manipur,Manipur,14
Mizoram,Mizoram,15
Tripura,Tripura,16
Meghalaya,Meghalaya,17
Assam,Assam,18
West Bengal,West Bengal,19
Jharkhand,Jharkhand,20
Odisha,Odisha,21
Chattisgarh,Chhattisgarh,22
Madhya Pradesh,Madhya Pradesh,23
Gujrat,Gujarat,24
Daman and Diu,The Dadra and Nagar Haveli and Daman and Diu,38
Dadra and Nagar Haveli,The Dadra and Nagar Haveli and Daman and Diu,38
Maharastra,Maharashtra,27
Karnataka,Karnataka,29
Goa,Goa,30
Lakshadweep,Lakshadweep,31
Kerala,Kerala,32
Tamil Nadu,Tamil Nadu,33
Puducherry,Puducherry,34
Andaman and Nicobar Island,Andaman and Nicobar Islands,35
Telangana,Telangana,36
Andhra Pradesh,Andhra Pradesh,28
Ladakh,Ladakh,38
